method,path,body,single_q,double_q,dashes,braces,spaces,badwords_count,class
POST,/github/collect,"{""client_id"":""388008999.1732355899"",""events"":[{""page"":""https://github.com/postmanlabs/postman-app-support/blob/support/CONTRIBUTING.md"",""title"":""postman-app-support/CONTRIBUTING.md at support · postmanlabs/postman-app-support · GitHub"",""context"":{""user_id"":""10251060"",""user_login"":""postmanlabs"",""repository_id"":""1924147"",""repository_nwo"":""postmanlabs/postman-app-support"",""repository_public"":""true"",""repository_is_fork"":""false"",""repository_network_root_id"":""1924147"",""repository_network_root_nwo"":""postmanlabs/postman-app-support"",""referrer"":""https://github.com/postmanlabs/postman-app-support"",""request_id"":""F968:18EAF5:760D4A:88DA08:6741A74A"",""visitor_id"":""1666485962991052603"",""region_edge"":""centralindia"",""region_render"":""centralindia"",""staff"":""false"",""react"":""true"",""reactApp"":""\""react-code-view\"""",""reactPartials"":""[\""keyboard-shortcuts-dialog\""]"",""ssr"":""true"",""controller"":""\""blob\"""",""action"":""\""show\"""",""routePattern"":""\""/:user_id/:repository/blob/*name(/*path)\"""",""cpu"":""\""md\"""",""inp"":""{\""name\"":\""INP\"",\""value\"":0,\""element\"":\""\""}""},""type"":""web-vital""}],""request_context"":{""referrer"":""https://github.com/postmanlabs/postman-app-support"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""screen_resolution"":""1600x900"",""browser_resolution"":""1600x765"",""browser_languages"":""en-US"",""pixel_ratio"":1,""timestamp"":1732355944471,""tz_seconds"":19800}}",0,162,0,3,17,0,l
POST,/github/collect,"{""client_id"":""388008999.1732355899"",""events"":[{""page"":""https://github.com/postmanlabs/postman-app-support/blob/support/CONTRIBUTING.md"",""title"":""postman-app-support/CONTRIBUTING.md at support · postmanlabs/postman-app-support · GitHub"",""context"":{""user_id"":""10251060"",""user_login"":""postmanlabs"",""repository_id"":""1924147"",""repository_nwo"":""postmanlabs/postman-app-support"",""repository_public"":""true"",""repository_is_fork"":""false"",""repository_network_root_id"":""1924147"",""repository_network_root_nwo"":""postmanlabs/postman-app-support"",""referrer"":""https://github.com/postmanlabs/postman-app-support"",""request_id"":""F968:18EAF5:760D4A:88DA08:6741A74A"",""visitor_id"":""1666485962991052603"",""region_edge"":""centralindia"",""region_render"":""centralindia"",""staff"":""false"",""react"":""true"",""reactApp"":""\""react-code-view\"""",""reactPartials"":""[\""keyboard-shortcuts-dialog\""]"",""ssr"":""true"",""controller"":""\""blob\"""",""action"":""\""show\"""",""routePattern"":""\""/:user_id/:repository/blob/*name(/*path)\"""",""cpu"":""\""md\"""",""inp"":""{\""name\"":\""INP\"",\""value\"":0,\""element\"":\""\""}""},""type"":""web-vital""}],""request_context"":{""referrer"":""https://github.com/postmanlabs/postman-app-support"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""screen_resolution"":""1600x900"",""browser_resolution"":""1600x765"",""browser_languages"":""en-US"",""pixel_ratio"":1,""timestamp"":1732355953168,""tz_seconds"":19800}}",0,162,0,3,17,0,l
POST,/github/collect,"{""client_id"":""388008999.1732355899"",""page_views"":[{""page"":""https://github.com/postmanlabs/postman-app-support/blob/support/CONTRIBUTING.md"",""title"":""postman-app-support/CONTRIBUTING.md at support · postmanlabs/postman-app-support · GitHub"",""context"":{""user_id"":""10251060"",""user_login"":""postmanlabs"",""repository_id"":""1924147"",""repository_nwo"":""postmanlabs/postman-app-support"",""repository_public"":""true"",""repository_is_fork"":""false"",""repository_network_root_id"":""1924147"",""repository_network_root_nwo"":""postmanlabs/postman-app-support"",""referrer"":""https://github.com/postmanlabs/postman-app-support"",""request_id"":""F968:18EAF5:760D4A:88DA08:6741A74A"",""visitor_id"":""1666485962991052603"",""region_edge"":""centralindia"",""region_render"":""centralindia"",""staff"":""false"",""react_app"":""react-code-view""}}],""request_context"":{""referrer"":""https://github.com/postmanlabs/postman-app-support"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""screen_resolution"":""1600x900"",""browser_resolution"":""1600x765"",""browser_languages"":""en-US"",""pixel_ratio"":1,""timestamp"":1732355923715,""tz_seconds"":19800}}",0,104,0,2,17,0,l
GET,/postmanlabs/postman-app-support,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/blob/support/CONTRIBUTING.md,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/deferred-metadata/support/CONTRIBUTING.md,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/hovercards/citation/sidebar_partial?tree_name=support,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/latest-commit/support/CONTRIBUTING.md,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/refs?type=branch,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/security/overall-count,,0,0,0,0,0,0,l
GET,/postmanlabs/postman-app-support/used_by_list,,0,0,0,0,0,0,l
