,body,single_q,double_q,dashes,braces,spaces,badwords_count,Cluster
21,,0.0,94.0,0.0,0.0,0.0,1.0,Cluster 0
22,,0.0,62.0,0.0,0.0,0.0,1.0,Cluster 0
23,,0.0,62.0,0.0,0.0,0.0,1.0,Cluster 0
24,,0.0,62.0,0.0,0.0,0.0,1.0,Cluster 0
25,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
26,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
27,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
28,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
29,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
30,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
